Fold,Accuracy,Precision,Recall,F1-score
1,70.0,0.6511111111111111,0.7,0.6422222222222221
2,76.67,0.75,0.7666666666666667,0.7333333333333333
3,83.33,0.7833333333333333,0.8333333333333334,0.788888888888889
4,83.33,0.8444444444444444,0.8333333333333334,0.8088888888888889
5,66.67,0.638888888888889,0.6666666666666666,0.6255555555555555
ŚREDNIA,76.0,0.7335555555555555,0.76,0.7197777777777777
